model_uid,model_source,model_name,weights
devtimm_gluon_inception_v3,timm,gluon_inception_v3,
devtimm_gluon_resnet18_v1b,timm,gluon_resnet18_v1b,
devtimm_gluon_resnet34_v1b,timm,gluon_resnet34_v1b,
devtimm_gluon_resnet50_v1b,timm,gluon_resnet50_v1b,
devtimm_gluon_resnet50_v1c,timm,gluon_resnet50_v1c,
devtimm_gluon_resnet50_v1d,timm,gluon_resnet50_v1d,
devtimm_gluon_resnet50_v1s,timm,gluon_resnet50_v1s,
devtimm_gluon_resnet101_v1b,timm,gluon_resnet101_v1b,
devtimm_gluon_resnet101_v1c,timm,gluon_resnet101_v1c,
devtimm_gluon_resnet101_v1d,timm,gluon_resnet101_v1d,
devtimm_gluon_resnet101_v1s,timm,gluon_resnet101_v1s,
devtimm_gluon_resnet152_v1b,timm,gluon_resnet152_v1b,
devtimm_gluon_resnet152_v1c,timm,gluon_resnet152_v1c,
devtimm_gluon_resnet152_v1d,timm,gluon_resnet152_v1d,
devtimm_gluon_resnet152_v1s,timm,gluon_resnet152_v1s,
devtimm_gluon_resnext50_32x4d,timm,gluon_resnext50_32x4d,
devtimm_gluon_resnext101_32x4d,timm,gluon_resnext101_32x4d,
devtimm_gluon_resnext101_64x4d,timm,gluon_resnext101_64x4d,
devtimm_gluon_senet154,timm,gluon_senet154,
devtimm_gluon_seresnext50_32x4d,timm,gluon_seresnext50_32x4d,
devtimm_gluon_seresnext101_32x4d,timm,gluon_seresnext101_32x4d,
devtimm_gluon_seresnext101_64x4d,timm,gluon_seresnext101_64x4d,
devtimm_gluon_xception65,timm,gluon_xception65,
devtimm_gmixer_24_224_ra3_in1k,timm,gmixer_24_224,ra3_in1k
devtimm_gmlp_s16_224_ra3_in1k,timm,gmlp_s16_224,ra3_in1k
devtimm_halo2botnet50ts_256,timm,halo2botnet50ts_256,
devtimm_halonet26t,timm,halonet26t,
devtimm_halonet50ts,timm,halonet50ts,
devtimm_haloregnetz_b,timm,haloregnetz_b,
devtimm_hardcorenas_a,timm,hardcorenas_a,
devtimm_hardcorenas_b,timm,hardcorenas_b,
devtimm_hardcorenas_c,timm,hardcorenas_c,
devtimm_hardcorenas_d,timm,hardcorenas_d,
devtimm_hardcorenas_e,timm,hardcorenas_e,
devtimm_hardcorenas_f,timm,hardcorenas_f,
devtimm_hrnet_w18,timm,hrnet_w18,
devtimm_hrnet_w18_small,timm,hrnet_w18_small,
devtimm_hrnet_w18_small_v2,timm,hrnet_w18_small_v2,
devtimm_hrnet_w30,timm,hrnet_w30,
devtimm_hrnet_w32,timm,hrnet_w32,
